city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
北京,整租·中粮瑞府 5室2厅 复式 南,整租,朝阳,中央别墅区,中粮瑞府,421.32,5,2,5,南,低,2,官方核验|精装,链家,,150000
北京,整租·华贸城 2室1厅 东,整租,朝阳,北苑,华贸城,66.94,2,1,1,东,中,28,自营|月租|近地铁|精装|押一付一|随时看房,贝壳优选,今天维护,5000
北京,整租·霄云里8号 2房间 东/北,整租,朝阳,燕莎,霄云里8号,91.64,0,0,0,东 北,高,13,官方核验|近地铁|精装|集中供暖|双卫生间|随时看房,链家,,9500
北京,整租·首开缇香郡二期 4室1厅 复式 南/北,整租,通州,通州其它,首开缇香郡二期,139.28,4,1,1,南 北,低,4,官方核验|集中供暖,链家,,3300
北京,整租·华贸城 2室1厅 东南,整租,朝阳,北苑,华贸城,66.94,2,1,1,东南,中,28,自营|月租|近地铁|精装|押一付一|随时看房,贝壳优选,今天维护,4800
北京,独栋·来住酒店式公寓 来住六里桥秋果酒店式公寓 【考研/备考专属月租】灵活租期 近地铁公交 三环内 交通方便 开间,独栋,,,,18.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装,来住酒店式公寓,今天维护,4299
北京,整租·万科观承别墅二期 4室2厅 南/北,整租,顺义,后沙峪,万科观承别墅二期,320.21,4,2,5,南 北,低,2,官方核验|精装,链家,3天前维护,38000
北京,整租·富成花园 6室3厅 东/南/西/北,整租,朝阳,亚运村小营,富成花园,431.76,6,3,4,东 南 西 北,低,2,官方核验|近地铁,链家,5天前维护,220000
北京,整租·润景园 2室1厅 东/西,整租,顺义,顺义其它,润景园,90.3,2,1,1,东 西,低,11,自营|月租|集中供暖|押一付一|随时看房,贝壳优选,今天维护,2100
北京,整租·中海首开拾光里 4室2厅 南/北,整租,朝阳,中央别墅区,中海首开拾光里,240.0,4,2,3,南 北,低,2,官方核验|随时看房,链家,2天前维护,13000
北京,整租·北京ONE 2室1厅 东,整租,通州,万达,北京ONE,107.69,2,1,1,东,中,32,官方核验|精装|随时看房,链家,3天前维护,6500
北京,整租·太平桥大街6号 1室1厅 东/西,整租,西城,金融街,太平桥大街6号,44.5,1,1,1,东 西,中,16,自营|月租|近地铁|精装|集中供暖|押一付一|随时看房,贝壳优选,今天维护,7200
北京,整租·天恒半山世家 6室3厅 复式 南/北,整租,怀柔,怀柔,天恒半山世家,209.09,6,3,3,南 北,低,2,官方核验|随时看房,链家,2天前维护,15000
北京,整租·大湖山庄 6室2厅 东/南/西/北,整租,朝阳,中央别墅区,大湖山庄,400.0,6,2,6,东 南 西 北,低,2,官方核验|精装,链家,,70000
北京,整租·荣丰2008 1室0厅 北,整租,西城,广安门,荣丰2008,21.53,1,0,1,北,低,20,自营|月租|近地铁|精装|集中供暖|押一付一|随时看房,贝壳优选,今天维护,3350
北京,独栋·来住酒店式公寓 来住六里桥秋果酒店式公寓 【过渡/短居优选】拎包入住 设施齐全 24h前台和安保 开间,独栋,,,,22.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装,来住酒店式公寓,2天前维护,4799
北京,整租·石景苑 3室1厅 南,整租,顺义,顺义城,石景苑,105.0,3,1,1,南,低,15,官方核验|近地铁|精装|集中供暖|随时看房,链家,2天前维护,3200
北京,整租·西屋国际 3室2厅 南/北,整租,海淀,苏州桥,西屋国际,231.64,3,2,2,南 北,高,22,官方核验|近地铁|精装|集中供暖|双卫生间|随时看房,链家,,29800
北京,整租·宏仁家园 2室2厅 南/北,整租,北京经济技术开发区,马驹桥,宏仁家园,89.21,2,2,1,南 北,低,28,自营|月租|精装|集中供暖|押一付一|随时看房,贝壳优选,今天维护,3500
北京,整租·大牛坊四期 3室2厅 南/北,整租,海淀,海淀北部新区,大牛坊四期,126.0,3,2,2,南 北,中,14,官方核验|精装|双卫生间,链家,5天前维护,11000
北京,整租·金贸中心 2房间 南,整租,西城,车公庄,金贸中心,109.0,0,0,0,南,低,15,官方核验|近地铁|精装|集中供暖|随时看房,链家,2天前维护,18000
北京,整租·金融街武夷融御 2室1厅 西南,整租,通州,武夷花园,金融街武夷融御,72.0,2,1,1,西南,低,24,自营|新上|月租|精装|集中供暖|押一付一|随时看房,贝壳优选,今天维护,4620
北京,整租·东直门外小街10号院 2室1厅 南,整租,东城,东直门,东直门外小街10号院,53.0,2,1,1,南,高,6,官方核验|精装|集中供暖,链家,,6900
北京,整租·长阳半岛祥云墅 5室2厅 南/北,整租,房山,长阳,长阳半岛祥云墅,214.0,5,2,2,南 北,低,3,官方核验|精装|集中供暖|双卫生间,链家,3天前维护,18000
北京,整租·万科四季花城 3室2厅 南/北,整租,顺义,顺义城,万科四季花城,122.43,3,2,1,南 北,低,11,自营|月租|近地铁|集中供暖|押一付一|随时看房,贝壳优选,今天维护,4600
北京,整租·天恒旭辉7号院 7房间 南/北,整租,大兴,大兴新机场,天恒旭辉7号院,210.0,0,0,0,南 北,中,6,官方核验|双卫生间|随时看房,链家,,7400
