city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
南京,整租·空港新都孔雀城 3室2厅 南,整租,溧水,溧水其它,空港新都孔雀城,101.0,3,2,2,南,低,26,自营|月租|精装|押一付一|双卫生间|随时看房,贝壳优选,,1300
南京,独栋·贝壳新青年公寓 体育中心店 【毕业特惠】长租特惠  江北新区 地铁直达 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,贝壳新青年公寓,6天前维护,2332
南京,整租·奥园金基天著尚居 4室2厅 南,整租,江宁,禄口,奥园金基天著尚居,103.01,4,2,1,南,中,16,自营|月租|精装|押一付一|随时看房,贝壳优选,,2100
南京,独栋·贝壳新青年公寓 体育中心店 【毕业季】采光不遮挡 弘阳广场 方便停车 近地铁 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,贝壳新青年公寓,6天前维护,2332-2385
南京,整租·堂子街 2室1厅 南/北,整租,秦淮,朝天宫,堂子街,76.41,2,1,1,南 北,高,9,自营|月租|近地铁|精装|押一付一|随时看房,贝壳优选,,3200
南京,独栋·渥姆青年人才社区·建邺店 奥体店 冬日暖心价温馨原木风三居室 全南卧室无中介费 3室3厅,独栋,,,,95.0,3,3,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房,渥姆青年人才社区·建邺店,1个月前维护,4180
南京,整租·天鹅堡花园 4室2厅 南,整租,建邺,奥南,天鹅堡花园,160.29,4,2,2,南,低,30,业主自荐|新上|精装|双卫生间|随时看房,,今天维护,6600
南京,独栋·渥姆青年人才社区·建邺店 奥体店 年底特价房 近地铁 家电齐全 可办理住房补贴 2室1厅,独栋,,,,65.0,2,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台,渥姆青年人才社区·建邺店,1个月前维护,3520
南京,整租·金尧花园 2室1厅 南,整租,栖霞,尧化门,金尧花园,70.0,2,1,1,南,高,6,新上|精装,,1天前维护,1200
南京,独栋·素舍臻选 涵碧楼 涵碧楼行馆 网红轻奢塔尖公寓 豪装两房 可月付 无中介费 2室1厅,独栋,,,,135.88,2,1,2,,,0,独栋公寓|月租|精装|开放厨房|押一付一,素舍臻选,3天前维护,12500
南京,整租·方山熙园 2室1厅 南/北,整租,江宁,南医大,方山熙园,82.43,2,1,1,南 北,中,6,新上|随时看房,,今天维护,2200
南京,独栋·东南青年汇 金才店（梦都大街） 精致客卧分离/超大L型露台/不可短租/可月付/奥体附近 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|精装|有阳台|开放厨房|押一付一,东南青年汇,3个月前维护,3600
南京,整租·恒大滨江 2室2厅 南,整租,鼓楼,建宁路,恒大滨江,83.77,2,2,1,南,高,31,业主自荐|新上|近地铁|精装,,1天前维护,4000
南京,独栋·东南青年汇 奥体店 C2女神专属/露台大开间/卷烟厂旁/停车方便/临近地铁站 1室1厅,独栋,,,,50.0,1,1,1,,,0,独栋公寓|月租|精装|有阳台|押一付一,东南青年汇,1个月前维护,2600
南京,整租·秀园西苑保障房 3室2厅 南,整租,溧水,溧水城中,秀园西苑保障房,122.0,3,2,2,南,高,18,精装|双卫生间,,4天前维护,1110
南京,独栋·朗诗寓 天隆寺-软件大道店 近1号线天隆寺地铁口 公寓直租非中介/朗诗寓/智能门锁/0中介特惠好房/免押/押一付一 1室1厅,独栋,,,,37.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,朗诗寓,5天前维护,3108
南京,整租·祥禄佳苑 2室1厅 南,整租,江宁,禄口,祥禄佳苑,72.0,2,1,1,南,中,11,新上|精装,,2天前维护,1000
南京,独栋·瓴寓国际 河西南G116社区 秦淮河畔！高品质精英社区，民用水电，24小时管家安保 1室1厅,独栋,,,,60.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,瓴寓国际,今天维护,4667-5292
