city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
厦门,整租·湖光路 2室1厅 南/西/北,整租,思明,富山,湖光路,67.28,2,1,1,南 西 北,低,7,新上|近地铁|精装|随时看房,,1天前维护,3000
厦门,独栋·厦门思寓 格林城堡 【直租特惠 免中介】】地铁口50米 BRT100米 阳台复式 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,11天前维护,2080
厦门,整租·天湖苑 4室2厅 东南,整租,思明,白鹭洲,天湖苑,100.0,4,2,1,东南,中,29,新上|精装|随时看房,,今天维护,5000
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 城景房【采光棒】+ 1室1厅,独栋,,,,28.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|押一付一,长洲青年社区,3天前维护,1700
厦门,整租·金海湾 2室2厅 南/北,整租,集美,杏林桥头,金海湾,83.0,2,2,1,南 北,中,5,新上,,2天前维护,2600
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【新青年计划 · 岭兜地铁站】精致单间，年租省4600 开间,独栋,,,,18.0,1,0,1,,,0,官方核验|独栋公寓|月租|拎包入住|近地铁|精装|押一付一,长洲青年社区,6天前维护,1309
厦门,整租·禹洲世贸商城思明 2室1厅 东,整租,思明,火车站,禹洲世贸商城思明,56.0,2,1,1,东,高,40,新上|近地铁|精装|随时看房,,1天前维护,3200
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【新年特惠】押一付一，单间带阳台 1室1厅,独栋,,,,25.0,1,1,1,,,0,官方核验|独栋公寓|月租|拎包入住|近地铁|精装|有阳台|押一付一,长洲青年社区,6天前维护,1500
厦门,整租·京口岩居住小区二期 3室2厅 南/北,整租,海沧,未来海岸北师大,京口岩居住小区二期,128.0,3,2,2,南 北,中,23,精装|双卫生间|随时看房,,今天维护,3100
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【12月特惠】城景方间（最后1间） 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,长洲青年社区,6天前维护,1709
厦门,整租·明丰财富中心 1室1厅 东南,整租,思明,前埔,明丰财富中心,70.0,1,1,1,东南,中,21,近地铁|精装|随时看房,,2天前维护,2800
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【地铁二号线】阳光大一居，民水民电- 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,长洲青年社区,6天前维护,1759
厦门,整租·前埔南区文兴东二里 3室1厅 南/北,整租,思明,前埔,前埔南区文兴东二里,82.6,3,1,1,南 北,中,7,新上|精装|随时看房,,2天前维护,3500
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【秒杀】可短租，无中介，押一付一，特惠一居室01-1户型- 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,长洲青年社区,6天前维护,1700
厦门,整租·龙昌里居住区 3室2厅 南/北,整租,思明,莲花,龙昌里居住区,100.0,3,2,1,南 北,低,7,新上|近地铁|精装|随时看房,,3天前维护,3900
厦门,整租·侨福城侨文里 2室2厅 南/北,整租,思明,瑞景,侨福城侨文里,78.0,2,2,1,南 北,低,8,新上,,3天前维护,2600
厦门,整租·雅居乐御宾府 3室2厅 南/北,整租,翔安,马巷,雅居乐御宾府,92.0,3,2,2,南 北,高,28,精装|双卫生间|随时看房,,2天前维护,1800
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【房东直租】豪华一居室、大户型- 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,长洲青年社区,6天前维护,1899
厦门,整租·保利·阅云台 3室2厅 南,整租,同安,环东海域,保利·阅云台,88.0,3,2,2,南,高,23,精装|双卫生间|随时看房,,2天前维护,3000
厦门,整租·金龙花园 3室1厅 西北,整租,思明,莲坂,金龙花园,80.0,3,1,1,西北,高,9,精装|随时看房,,3天前维护,4200
厦门,整租·大洋雅苑 3室2厅 东,整租,湖里,枋湖,大洋雅苑,96.0,3,2,1,东,高,15,新上,,2天前维护,3500
