city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
天津,整租·华亭国际 2室2厅 南/北,整租,西青,中北镇,华亭国际,110.36,2,2,2,南 北,高,11,官方核验|自营|精装|集中供暖|押一付一|双卫生间|随时看房,贝壳优选,,2100
天津,整租·鸿坤原乡郡 3室2厅 南/北,整租,武清,黄庄,鸿坤原乡郡,127.9,3,2,2,南 北,中,27,集中供暖|双卫生间|随时看房,,,700
天津,整租·河怡花园 1室1厅 南,整租,红桥,西沽街,河怡花园,76.07,1,1,1,南,高,24,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,2天前维护,1800
天津,整租·恒大绿洲花园 3室2厅 南/北,整租,东丽,东丽湖,恒大绿洲花园,149.33,3,2,2,南 北,中,18,精装|集中供暖|双卫生间|随时看房,,,1700
天津,整租·融创中央学府东区 3室1厅 南/北,整租,津南,海河教育园区,融创中央学府东区,106.48,3,1,1,南 北,高,28,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,,2000
天津,独栋·龙湖冠寓 天津南开王顶堤店 迎新年特惠活动来袭！长租仅需18XX，拎包入住，可月付 1室1厅,独栋,,,,31.88,1,1,1,,,0,独栋公寓|月租|近地铁|精装|押一付一,龙湖冠寓,7天前维护,1975-2052
天津,整租·富力又一城合力园 4室2厅 南/北,整租,津南,咸水沽,富力又一城合力园,107.48,4,2,1,南 北,低,33,自营|精装|集中供暖|押一付一|随时看房,贝壳优选,,1700
天津,独栋·龙湖冠寓 天津南开王顶堤店 新年特惠，长租每月房租仅需18xx！长租立省500 1室1厅,独栋,,,,31.03,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,龙湖冠寓,7天前维护,1918
天津,整租·龙瀚东园 1室1厅 南,整租,河西,柳林街,龙瀚东园,57.72,1,1,1,南,高,30,官方核验|自营|近地铁|精装|集中供暖|押一付一|随时看房,贝壳优选,,1800
天津,整租·白鹭湾花园 2室1厅 南/北,整租,宝坻,潮阳大道,白鹭湾花园,94.6,2,1,1,南 北,中,11,集中供暖|随时看房,,,1000
天津,整租·瀛台里 2室1厅 南/西北,整租,北辰,集贤里,瀛台里,71.01,2,1,1,南 西北,高,8,自营|集中供暖|押一付一|随时看房,贝壳优选,今天维护,900
天津,独栋·泊寓 建投泊寓·悦巢店 【配套齐全  长租优惠多】智能门锁  0中介费 押一付一 方特 独立卫浴 郊野公园 开间,独栋,,,,47.28,1,0,1,,,0,独栋公寓|精装|有阳台|开放厨房,泊寓,14天前维护,1089-1139
天津,独栋·泊寓 东第A座店 五号线特价房秒杀活动！押一付一！抄底秒杀特价 ，仅两套！ 开间,独栋,,,,30.8,1,0,1,,,0,独栋公寓|拎包入住|近地铁|精装|开放厨房|押一付一,泊寓,1个月前维护,1350
天津,整租·惠安里 1室1厅 南,整租,滨海新区,新村街,惠安里,40.0,1,1,1,南,高,6,集中供暖|随时看房,,今天维护,1800
天津,整租·李庄子赤龙鑫园 3室1厅 南,整租,西青,大寺,李庄子赤龙鑫园,110.0,3,1,1,南,中,5,近地铁|集中供暖,,,1600
天津,独栋·龙湖冠寓 天津泰达地铁站店 B 【限量大户型】精装带阳台 毗邻地铁9号线 开间,独栋,,,,29.0,1,0,1,,,0,新上|独栋公寓|月租|近地铁|精装|有阳台|押一付一,龙湖冠寓,2天前维护,1487
天津,整租·万科滨海大都会观景轩 2室1厅 南/北,整租,滨海新区,于家堡,万科滨海大都会观景轩,96.0,2,1,1,南 北,低,25,近地铁|集中供暖,,4天前维护,2000
天津,整租·蝶桥公寓 1室0厅 西北,整租,河东,大直沽,蝶桥公寓,21.0,1,0,0,西北,低,7,近地铁|集中供暖,,5天前维护,3300
天津,独栋·龙湖冠寓 天津塘沽河北路店 C【新年租新房！九五折！租房暴击！】学生更享折上折！可开票！支持公积金提取！ 开间,独栋,,,,22.0,1,0,1,,,0,独栋公寓|月租|精装|押一付一,龙湖冠寓,1天前维护,1497
天津,整租·连云里(河北区) 1室1厅 南,整租,河北,建昌道,连云里(河北区),30.0,1,1,1,南,中,6,近地铁|集中供暖|随时看房,,,917
天津,整租·鸿坤理想城 3室2厅 南/北,整租,静海,团泊东,鸿坤理想城,137.0,3,2,2,南 北,低,4,月租|集中供暖|双卫生间,,,1200
天津,独栋·泊寓 建投泊寓·悦巢店 【性价比之王  配套拉满】开业优惠 无中介费 幼儿园 黄港生态休闲区 开间,独栋,,,,47.28,1,0,1,,,0,独栋公寓|精装|有阳台|开放厨房,泊寓,1个月前维护,1139
天津,整租·鸿坤理想城 3室2厅 南/北,整租,静海,团泊东,鸿坤理想城,133.0,3,2,2,南 北,低,4,集中供暖|双卫生间,,,1625
天津,整租·京津星公馆 2室1厅 南,整租,南开,广开街,京津星公馆,143.0,2,1,0,南,中,33,近地铁|集中供暖,,,5500
天津,整租·天汇广场 4室2厅 南,整租,和平,南市,天汇广场,287.69,4,2,0,南,高,21,近地铁|精装|集中供暖|随时看房,,4天前维护,14900
天津,独栋·龙湖冠寓 天津西康路店 限时大特价 超长租首月立减500，无中介费，可开发票！陪读考研学生折上折C 1室1厅,独栋,,,,32.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|押一付一,龙湖冠寓,1个月前维护,2024
天津,整租·发电楼 2室1厅 南/北,整租,北辰,集贤里,发电楼,61.0,2,1,1,南 北,高,6,近地铁|集中供暖,链家,,950
天津,整租·融创星耀五洲 3室2厅 南/北,整租,津南,八里台,融创星耀五洲,125.0,3,2,2,南 北,低,33,集中供暖|双卫生间,,,800
天津,整租·新金龙大厦 4室2厅 东/西,整租,河西,天塔街,新金龙大厦,242.0,4,2,2,东 西,高,15,近地铁|集中供暖|双卫生间,,1天前维护,10900
天津,整租·宝和里 1室0厅 南,整租,河西,下瓦房,宝和里,26.0,1,0,0,南,高,6,近地铁|集中供暖|随时看房,,,1000
天津,整租·美丽心殿 2室1厅 南/北,整租,南开,王顶堤,美丽心殿,101.93,2,1,1,南 北,低,17,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,,3700
天津,整租·鸿雁里 2室2厅 南/北,整租,蓟州,人民公园,鸿雁里,84.0,2,2,1,南 北,中,6,集中供暖,,1天前维护,650
天津,整租·艺术公寓 1室1厅 南,整租,南开,鼓楼街,艺术公寓,47.35,1,1,1,南,中,32,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,2天前维护,2000
天津,整租·绿色家园 3室2厅 南/北,整租,宝坻,火车站,绿色家园,108.24,3,2,1,南 北,高,6,精装|集中供暖|随时看房,,,1000
天津,整租·柳江里(河西区) 2室1厅 南/北,整租,河西,友谊路,柳江里(河西区),63.1,2,1,1,南 北,高,6,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,,1700
天津,独栋·龙湖冠寓 天津西康路店 元旦短租房源！特价秒杀2间，超长租首月减500元 开间,独栋,,,,36.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装|押一付一,龙湖冠寓,17天前维护,2275
天津,整租·华城领秀万华里 2室1厅 东/南/北,整租,红桥,铃铛阁,华城领秀万华里,95.51,2,1,1,东 南 北,中,18,官方核验|自营|精装|集中供暖|押一付一|随时看房,贝壳优选,,3620
天津,独栋·龙湖冠寓 天津大津城店 绝美落地窗带阳台设施齐全无中介费 开间,独栋,,,,33.0,1,0,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,龙湖冠寓,1个月前维护,1595-1867
