city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
广州,整租·高德公馆 1室1厅 北,整租,天河,珠江新城中,高德公馆,64.1,1,1,1,北,中,38,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,5999
广州,独栋·广州安居公寓 棠德花苑店 民水电押一！小区式公寓可短租 国企直租 24h安保 精装单间干湿分离 近信息港 开间,独栋,,,,42.0,1,0,1,,,0,独栋公寓|月租|精装|押一付一,广州安居公寓,3天前维护,2200
广州,整租·保利金融大都汇 1室1厅 南,整租,天河,金融城,保利金融大都汇,62.42,1,1,1,南,中,39,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3300
广州,独栋·广州隽语公寓 黄花岗地铁站店 【双12限时特价】独立卫浴一房一厅 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,广州隽语公寓,1个月前维护,3388
广州,整租·万科欧泊 3室2厅 东南,整租,番禺,万博,万科欧泊,94.09,3,2,1,东南,中,42,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,4600
广州,独栋·广州隽语公寓 黄花岗地铁站店 【限时优惠专享】性价比 榻榻米一居室 免管理费 1室1厅,独栋,,,,39.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,广州隽语公寓,1个月前维护,3850
广州,整租·隽峰苑 5室2厅 东,整租,天河,珠江新城中,隽峰苑,234.0,5,2,3,东,低,32,近地铁|随时看房,,4天前维护,19000
广州,独栋·新屿公寓 纪念堂店 【可短租】温馨飘窗小单间！国企直营！安静舒适！ 1室1厅,独栋,,,,19.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,新屿公寓,今天维护,2530-2630
广州,整租·天銮 5室2厅 南/北,整租,天河,珠江新城中,天銮,245.0,5,2,4,南 北,低,28,精装,,,36000
广州,独栋·如安联行公寓 科纳中心 大沙地 无遮挡采光单间 超长免租 免费停车 开间,独栋,,,,35.0,1,0,1,,,0,新上|独栋公寓|月租|精装|开放厨房|押一付一,如安联行公寓,1天前维护,1905
广州,整租·星河畔月湾 3室2厅 东,整租,南沙,横沥,星河畔月湾,125.66,3,2,1,东,高,33,精装|随时看房,,,2500
广州,独栋·如安联行公寓 科纳中心 大沙地 免费停车 超长免租 精装阳光单间 开间,独栋,,,,35.0,1,0,1,,,0,新上|独栋公寓|月租|精装|开放厨房,如安联行公寓,1天前维护,1905
广州,整租·星河畔月湾 3室2厅 东,整租,南沙,横沥,星河畔月湾,125.66,3,2,1,东,高,33,精装|随时看房,,,2500
广州,独栋·华润置地·有巢公寓 设计之都店 2号线直达 押一付一 可短租  阳光大单间 开间,独栋,,,,40.0,1,0,1,,,0,独栋公寓|拎包入住|近地铁|精装|开放厨房,华润置地·有巢公寓,17天前维护,2650-2700
广州,整租·星河畔月湾 3室2厅 东,整租,南沙,横沥,星河畔月湾,125.66,3,2,1,东,高,33,精装|随时看房,,,2500
广州,独栋·YOU+社区 棠下优家旗舰店 【夜猫子专享】夜间噪音月租价1680！天井大单间+智能安防·熬夜党的福音！ 开间,独栋,,,,29.0,1,0,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,YOU+社区,4天前维护,2480
广州,整租·岭南新世界 1室0厅 南,整租,白云,嘉禾望岗,岭南新世界,12.5,1,0,0,南,,12,,链家,,800
广州,独栋·YOU+社区 棠下优家旗舰店 天河唯一公积金付房租项目！30方天井0暗房·独立出入不走巷·亮堂大单间 开间,独栋,,,,30.0,1,0,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,YOU+社区,13天前维护,2480
广州,整租·中交国际邮轮广场 2室2厅 东,整租,南沙,南沙港,中交国际邮轮广场,88.0,2,2,1,东,低,35,近地铁|精装|随时看房,,1天前维护,2700
广州,独栋·金地草莓社区 中大店 中大南校/滨江东地铁站 带阳台单间环境安静 押一付一 开间,独栋,,,,30.0,1,0,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|押一付一,金地草莓社区,4天前维护,2530-2600
广州,整租·华福大厦 1室1厅 西南,整租,荔湾,龙津,华福大厦,40.32,1,1,1,西南,高,28,近地铁|随时看房,,3天前维护,2600
