city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
成都,整租·佳欣时代天汇 2室1厅 东南,整租,新都,新都城区,佳欣时代天汇,47.86,2,1,1,东南,中,23,权属核验|自营|精装|押一付一|随时看房,贝壳优选,,1200
成都,整租·鹿溪樾府 4室2厅 南,整租,天府新区,兴隆湖,鹿溪樾府,172.7,4,2,3,南,中,17,权属核验|精装|随时看房,,3天前维护,3400
成都,整租·碧桂园海昌天澜 3室2厅 南,整租,天府新区,雅居乐,碧桂园海昌天澜,130.25,3,2,2,南,中,6,权属核验|自营|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,,2300
成都,独栋·好怡佳公寓 时代晶座店 大源公园近世豪广场家具电器齐全可拎包入住精装公寓 1室1厅,独栋,,,,57.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,好怡佳公寓,1个月前维护,1600
成都,整租·蓝润V客东都二期 1室1厅 东南,整租,锦江,三圣乡,蓝润V客东都二期,31.49,1,1,1,东南,高,35,权属核验|自营|新上|近地铁|精装|押一付一|随时看房,贝壳优选,2天前维护,1305
成都,独栋·好怡佳公寓 时代晶座店 地铁口、近银泰、落地窗、无中介 1室1厅,独栋,,,,65.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,好怡佳公寓,1个月前维护,1700
成都,整租·德商蜜柚 1室2厅 南,整租,龙泉驿,大面,德商蜜柚,37.97,1,2,1,南,低,32,权属核验|自营|精装|押一付一|随时看房,贝壳优选,,1300
成都,独栋·华润置地·有巢公寓 软件园店 今日优选好房！免费影音室！家电全可做饭！长租短租都可！楼下盒马 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房,华润置地·有巢公寓,1个月前维护,2188
成都,整租·东悦里 1室1厅 南,整租,龙泉驿,东安湖,东悦里,41.46,1,1,1,南,低,30,权属核验|自营|近地铁|精装|押一付一|随时看房,贝壳优选,,1250
成都,整租·中海熙苑二期 3室2厅 东南,整租,武侯,武侯立交,中海熙苑二期,118.48,3,2,2,东南,高,18,权属核验|精装|双卫生间|随时看房,,4天前维护,3600
成都,整租·天投瀚悦名邸B区 3室2厅 东南,整租,天府新区,兴隆湖,天投瀚悦名邸B区,118.39,3,2,2,东南,低,37,权属核验|自营|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,,2500
成都,整租·浣花北路26号 2室1厅 东南,整租,青羊,草堂,浣花北路26号,86.44,2,1,1,东南,高,7,权属核验|近地铁|随时看房,链家,,1800
成都,整租·御龙山二期 2室1厅 西南,整租,成华,万年场,御龙山二期,83.11,2,1,1,西南,中,44,权属核验|自营|新上|精装|押一付一|随时看房,贝壳优选,5天前维护,3500
成都,整租·中铁诺德揽湖轩 4室2厅 南/北,整租,天府新区,兴隆湖,中铁诺德揽湖轩,126.37,4,2,2,南 北,低,24,权属核验|新上|精装|双卫生间|随时看房,,5天前维护,2200
成都,整租·德坤悦天地 1室1厅 东南,整租,温江,温江新城,德坤悦天地,42.86,1,1,1,东南,高,28,权属核验|自营|新上|精装|押一付一|随时看房,贝壳优选,,1550
成都,独栋·好怡佳公寓 时代晶座店 零带看费0中介近世豪广场天府四街民乐地铁口50米近银泰城精装公寓 1室1厅,独栋,,,,50.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,好怡佳公寓,10天前维护,1600
成都,整租·阳光新业中心 1室0厅 东/东南,整租,锦江,合江亭,阳光新业中心,46.16,1,0,1,东 东南,低,41,权属核验|自营|押一付一|随时看房|首次出租,贝壳优选,,2100
成都,整租·泛悦城市广场 1室0厅 南,整租,成华,驷马桥,泛悦城市广场,38.4,1,0,1,南,高,26,权属核验|近地铁|精装|随时看房,链家,,1500
成都,整租·广汇御园二期B区 4室2厅 南/北,整租,天府新区,天府公园东,广汇御园二期B区,134.38,4,2,2,南 北,高,32,权属核验|自营|近地铁|精装|押一付一|双卫生间|随时看房,贝壳优选,,3300
成都,整租·棠湖泊林镇 3室2厅 东,整租,双流,双流城区,棠湖泊林镇,116.59,3,2,2,东,高,6,权属核验|精装|双卫生间|随时看房,链家,,2100
成都,整租·华宇阳光尚座 1室0厅 南,整租,成华,动物园,华宇阳光尚座,34.99,1,0,1,南,高,17,权属核验|自营|精装|押一付一|随时看房,贝壳优选,,1250
成都,独栋·六和公寓 香榭宸光里店 短租免押 一次性付清 开间,独栋,,,,30.0,1,0,1,,,0,新上|独栋公寓|月租|近地铁|精装|开放厨房,六和公寓,今天维护,1500
成都,整租·合能枫丹铂麓一期 3室2厅 西,整租,天府新区,麓山,合能枫丹铂麓一期,76.81,3,2,1,西,中,26,权属核验|近地铁|精装|随时看房,,1天前维护,1850
成都,整租·德商御府天骄学府 4室2厅 南/北,整租,天府新区,锦江生态带,德商御府天骄学府,141.0,4,2,2,南 北,低,7,权属核验|精装|双卫生间|随时看房,,,4300
成都,整租·首开龙湖云著三期 5室2厅 南,整租,天府新区,天府公园西,首开龙湖云著三期,236.0,5,2,4,南,高,16,权属核验|近地铁|精装|随时看房,,1天前维护,7300
成都,整租·东原华宇.印江澜 3室1厅 东南/南,整租,新津区,五津,东原华宇.印江澜,97.0,3,1,2,东南 南,低,18,权属核验|精装|双卫生间|随时看房,,3天前维护,1346
成都,整租·领地悦府 3室2厅 南,整租,新都,毗河,领地悦府,118.38,3,2,2,南,中,33,权属核验|双卫生间,,2天前维护,800
成都,整租·赛纳花苑 3室2厅 东,整租,彭州,彭州,赛纳花苑,120.84,3,2,2,东,低,11,权属核验|双卫生间|随时看房,,5天前维护,1200
成都,整租·月楿俊苑 3室2厅 西南,整租,金牛,花牌坊,月楿俊苑,100.58,3,2,1,西南,高,6,权属核验|精装,,,3500
成都,整租·蓝润华府春天 3室2厅 东北,整租,双流,文星镇,蓝润华府春天,88.46,3,2,1,东北,低,17,权属核验|精装|随时看房,,,2200
成都,整租·万科理想城一期 3室2厅 东北,整租,郫都区,犀浦,万科理想城一期,74.95,3,2,1,东北,中,26,权属核验|自营|近地铁|押一付一|随时看房,贝壳优选,1天前维护,2330
成都,整租·蓝润华府春天 3室2厅 东北,整租,双流,文星镇,蓝润华府春天,88.46,3,2,1,东北,低,17,权属核验|精装|随时看房,,,2200
成都,整租·华侨城云岸 1室1厅 南,整租,金牛,华侨城,华侨城云岸,58.82,1,1,1,南,高,23,权属核验|自营|新上|近地铁|精装|押一付一|随时看房,贝壳优选,5天前维护,2600
成都,独栋·六和公寓 香榭宸光里店 短租无押金 双流区 金融城 中和 精装Loft 套一 直租 无中介费 1室1厅,独栋,,,,38.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,六和公寓,今天维护,1299
成都,整租·龙湖弗莱明戈一期 3室1厅 东/东南,整租,郫都区,郫县城区,龙湖弗莱明戈一期,91.73,3,1,2,东 东南,低,34,权属核验|自营|近地铁|精装|押一付一|双卫生间|随时看房,贝壳优选,,2200
成都,独栋·佳寓 武侯新城科创园店 实习特价好房3个月起租 无中介（20号房） 1室1厅,独栋,,,,22.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,佳寓,8天前维护,1250-1316
成都,整租·阳光欣园 2室1厅 东,整租,成华,李家沱,阳光欣园,89.3,2,1,1,东,中,33,权属核验|自营|新上|近地铁|押一付一|随时看房,贝壳优选,4天前维护,2600
成都,独栋·佳寓 武侯新城科创园店 全天采光温馨舒适一居室 月付（1/2/27/28房型）） 1室1厅,独栋,,,,12.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装,佳寓,9天前维护,777-812
成都,整租·成功悦都 1室0厅 东南,整租,成华,八里小区,成功悦都,43.69,1,0,1,东南,中,24,权属核验|自营|新上|精装|押一付一|随时看房,贝壳优选,今天维护,1700
成都,整租·乐活公社 1室1厅 南,整租,高新,新川北,乐活公社,44.0,1,1,1,南,中,20,权属核验|近地铁|精装,,,1650
成都,整租·珠江悦湖国际 1室1厅 西北/东北,整租,温江,珠江新城,珠江悦湖国际,54.92,1,1,1,西北 东北,高,46,权属核验|自营|新上|近地铁|精装|押一付一|随时看房,贝壳优选,4天前维护,1760
成都,整租·菁蓉滨湖湾清澜府 1室1厅 西南,整租,郫都区,郫县城区,菁蓉滨湖湾清澜府,37.0,1,1,1,西南,高,26,权属核验|随时看房,链家,,1300
成都,整租·锐力领峰 1室1厅 西北,整租,高新,新川北,锐力领峰,45.97,1,1,1,西北,高,33,权属核验|自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,2000
成都,整租·蓝谷公寓 3室1厅 东/东南,整租,青羊,府南新区,蓝谷公寓,122.5,3,1,1,东 东南,高,6,权属核验|近地铁|随时看房,链家,4天前维护,2100
成都,整租·金祥广场 1室1厅 东,整租,双流,蛟龙港,金祥广场,37.44,1,1,1,东,中,10,权属核验|自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,1200
成都,独栋·六和公寓 香榭宸光里店 短租无押金 双流区 天府二街 天府五街 精装Loft 套一 无中介费 1室1厅,独栋,,,,38.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房,六和公寓,今天维护,1299
成都,整租·鑫苑名家一期 1室0厅 东南,整租,锦江,卓锦城,鑫苑名家一期,40.68,1,0,1,东南,中,35,权属核验|自营|新上|近地铁|精装|押一付一|随时看房,贝壳优选,5天前维护,1480
成都,整租·青城山房 4室2厅 跃层 东南,整租,都江堰,青城山,青城山房,180.48,4,2,4,东南,低,4,权属核验|精装|随时看房,,,4500
成都,整租·融侨悦蓉城 1室1厅 东,整租,新都,大丰,融侨悦蓉城,30.51,1,1,1,东,高,22,权属核验|自营|近地铁|押一付一|随时看房,贝壳优选,,1300
成都,整租·中粮保利麓湖时玥 4室2厅 南,整租,天府新区,麓湖生态城,中粮保利麓湖时玥,213.0,4,2,3,南,中,6,权属核验|近地铁|精装|随时看房,链家,3天前维护,8300
成都,整租·万科玖西堂 4室2厅 东南,整租,郫都区,犀浦,万科玖西堂,143.0,4,2,2,东南,低,23,权属核验|自营|新上|精装|押一付一|双卫生间|随时看房,贝壳优选,今天维护,4180
成都,独栋·六和公寓 香榭宸光里店 短租无押金 双流区 张家寺 陆肖 精装Loft 套一 可短租 无中介 1室1厅,独栋,,,,38.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房,六和公寓,今天维护,1299
成都,整租·协信天骄城 3室2厅 东/东南/南,整租,青白江,青白江,协信天骄城,115.0,3,2,2,东 东南 南,高,33,权属核验|精装|双卫生间|随时看房,,,1200
成都,整租·恒大天府城邦 3室2厅 西南,整租,新津区,普兴,恒大天府城邦,122.24,3,2,2,西南,中,22,权属核验|精装|双卫生间|随时看房,,2天前维护,1250
成都,整租·仁恒滨河湾二期 4室2厅 南,整租,锦江,东大路,仁恒滨河湾二期,140.3,4,2,2,南,低,32,权属核验|近地铁|精装|双卫生间|随时看房,链家,3天前维护,7600
成都,整租·香山和苑 3室1厅 东南,整租,简阳,河东新区,香山和苑,120.68,3,1,2,东南,中,6,权属核验|双卫生间|随时看房,,,1800
成都,整租·蓝润天府MIC 1室1厅 南,整租,天府新区,南湖,蓝润天府MIC,30.8,1,1,1,南,高,22,权属核验|近地铁|精装,链家,,1600
成都,整租·万科魅力之城四期 2室1厅 东南/南,整租,成华,成渝立交,万科魅力之城四期,87.04,2,1,1,东南 南,低,32,权属核验|精装|随时看房,链家,3天前维护,2500
成都,整租·龙府花园 3室1厅 南,整租,龙泉驿,龙泉驿城区,龙府花园,137.94,3,1,1,南,中,4,权属核验|精装,链家,,2070
成都,整租·摩玛新城 1室0厅 东,整租,成华,成渝立交,摩玛新城,41.54,1,0,1,东,高,23,权属核验|精装|随时看房,链家,3天前维护,3200
成都,整租·东悦里 1室1厅 东南,整租,龙泉驿,东安湖,东悦里,48.18,1,1,1,东南,低,30,权属核验|自营|新上|近地铁|精装|押一付一|随时看房,贝壳优选,,1870
成都,整租·中大君悦金沙九期君雅院 2室2厅 东南,整租,青羊,金沙,中大君悦金沙九期君雅院,89.04,2,2,1,东南,低,32,权属核验|近地铁|精装|随时看房,,,2800
成都,整租·佳乐广场 2室2厅 南,整租,新都,毗河,佳乐广场,40.85,2,2,1,南,高,29,权属核验|自营|精装|押一付一|随时看房,贝壳优选,4天前维护,1500
成都,独栋·佳寓 武侯新城科创园店 公寓直租没有套路 只有阳光和wifi（标准大窗）） 1室1厅,独栋,,,,28.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,佳寓,1个月前维护,1372-1407
成都,整租·英郡三期 3室2厅 东南,整租,高新,世纪城,英郡三期,108.83,3,2,2,东南,低,34,权属核验|自营|新上|近地铁|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,3700
成都,独栋·龙湖冠寓 新川之心店 落地窗湖景房套一 新川园区实习出差 爱奇艺快手中科鼎桥新华三 可开票拎包入住 开间,独栋,,,,27.32,1,0,1,,,0,独栋公寓|月租|精装|开放厨房|押一付一,龙湖冠寓,1个月前维护,1573-1588
成都,整租·时代悦城 3室1厅 南,整租,郫都区,郫县城区,时代悦城,83.59,3,1,2,南,低,31,权属核验|自营|新上|精装|押一付一|双卫生间|随时看房,贝壳优选,1天前维护,2420
成都,独栋·龙湖冠寓 新川之心店 【年底钜惠】 AI创新中心专属折扣 天目中心博雅广场 月付可开票 实习出差首选 开间,独栋,,,,27.32,1,0,1,,,0,独栋公寓|月租|精装|开放厨房|押一付一,龙湖冠寓,12天前维护,1575-1616
成都,整租·师大现代花园 2室1厅 东北,整租,龙泉驿,大面,师大现代花园,94.08,2,1,1,东北,中,32,权属核验|自营|精装|押一付一|随时看房,贝壳优选,今天维护,1900
成都,整租·泊里中心 2室1厅 东南,整租,成华,东客站,泊里中心,48.0,2,1,1,东南,低,28,权属核验|近地铁|精装|随时看房,链家,,2400
成都,整租·快乐空间 3室1厅 东南,整租,青羊,府南新区,快乐空间,52.59,3,1,1,东南,低,12,权属核验|自营|新上|近地铁|押一付一|随时看房,贝壳优选,3天前维护,2310
成都,整租·香门第世家 3室1厅 西南,整租,郫都区,郫县城区,香门第世家,100.0,3,1,2,西南,低,11,权属核验|精装|双卫生间|随时看房,链家,3天前维护,1600
成都,整租·源滩国际社区 2室1厅 西,整租,成华,理工大,源滩国际社区,40.0,2,1,1,西,中,22,权属核验|近地铁|精装|随时看房,,,2000
成都,整租·首开龙湖云著一期 4室2厅 南,整租,天府新区,天府公园西,首开龙湖云著一期,175.83,4,2,3,南,中,32,权属核验|近地铁|精装|随时看房,,,6200
成都,整租·熙岸 3室2厅 东南/南,整租,高新西,中海国际,熙岸,132.35,3,2,2,东南 南,低,6,权属核验|精装|双卫生间|随时看房,链家,4天前维护,3000
成都,独栋·人人租房 嘉年华青年城 无中介可月付天府五街地铁口套一看江景 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,人人租房,9天前维护,1310
成都,整租·万科翡翠公园 4室2厅 南,整租,天府新区,锦江生态带,万科翡翠公园,122.0,4,2,2,南,中,35,权属核验|近地铁|精装|双卫生间|随时看房,,4天前维护,3600
成都,整租·悦龙山 3室2厅 东,整租,龙泉驿,大面,悦龙山,94.42,3,2,2,东,低,33,权属核验|近地铁|精装|双卫生间|随时看房,链家,,2600
成都,整租·华汇天地 3室2厅 南,整租,双流,华府,华汇天地,81.17,3,2,1,南,高,32,权属核验|近地铁|精装|随时看房,,,2500
