city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
杭州,整租·裕园公寓 2室1厅 南,整租,钱塘区,高教园区西,裕园公寓,67.3,2,1,1,南,高,7,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,2300
杭州,合租·御东方园 3居室 北卧,合租,上城区,丁桥,御东方园,11.0,3,2,2,北,中,16,近地铁,,5天前维护,1600
杭州,整租·滨江望涛月明 4室2厅 南,整租,萧山区,萧山新城区,滨江望涛月明,129.02,4,2,2,南,中,27,自营|新上|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,8090
杭州,独栋·晟光里 建发缦云店 最后一个月减免30天房租/可短租/整租朝南 1室1厅,整租,,,,45.0,1,1,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,晟光里,今天维护,2790
杭州,整租·万科杭宸一期 3室2厅 南,整租,余杭区,勾庄,万科杭宸一期,89.0,3,2,2,南,中,18,自营|新上|近地铁|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,4400
杭州,独栋·晟光里 建发缦云店 可短租/特惠减免30天房租/整租朝南/万达广场/押一付一 1室1厅,整租,,,,45.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房|押一付一,晟光里,今天维护,2461-2765
杭州,整租·大关东十苑 2室1厅 南,整租,拱墅区,大关,大关东十苑,59.16,2,1,1,南,高,7,新上|近地铁|押一付一|随时看房|首次出租,,今天维护,2700
杭州,整租·苕溪学府 2室2厅 南,整租,临安区,临安,苕溪学府,41.0,2,2,2,南,高,26,双卫生间|随时看房,,,1900
杭州,整租·欧美金融城 4室2厅 南,整租,余杭区,未来科技城,欧美金融城,126.59,4,2,2,南,中,33,自营|新上|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,5800
杭州,独栋·泊寓 滨江智造谷店 近吉利科技法式阳光阳台单间 开间,独栋,,,,30.29,1,0,1,,,0,独栋公寓|月租|精装|有阳台|押一付一,泊寓,2个月前维护,2314-2332
