city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
武汉,整租·东立国际 1室1厅 南,整租,江岸,二七,东立国际,47.0,1,1,1,南,低,18,官方核验|自营|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,,1600
武汉,独栋·冠寓 武汉白沙天街店 近地铁口400米 双商场 有停车场 押一付一无中介 开间,独栋,,,,28.0,1,0,1,,,0,官方核验|独栋公寓|近地铁|精装|开放厨房|押一付一,冠寓,21天前维护,1368-1386
武汉,整租·印湖云著 3室2厅 南,整租,蔡甸,后官湖,印湖云著,115.0,3,2,2,南,中,43,官方核验|自营|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,,2000
武汉,独栋·冠寓 武汉CBD店 范湖江宸天街汉口火车站王家墩东一居室无中介包网包物业可短租 开间,独栋,,,,28.0,1,0,1,,,0,官方核验|独栋公寓|月租|近地铁|精装|押一付一,冠寓,今天维护,1390
武汉,整租·中大长江紫都三期 2室2厅 南,整租,武昌,白沙洲,中大长江紫都三期,89.53,2,2,1,南,中,32,官方核验|自营|精装|押一付一|随时看房|首次出租,贝壳优选,,1500
武汉,独栋·城投悦家 安家乐寓·马鹦路店二期 6号线地铁口10米人才公寓押一付一无中介费拎包入住一居室B户型 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,城投悦家,19天前维护,1670-1715
武汉,整租·金色港湾四期 4室2厅 南/北,整租,沌口开发区,沌口,金色港湾四期,147.07,4,2,2,南 北,高,6,官方核验|近地铁|精装|双卫生间|随时看房,,2天前维护,2100
武汉,独栋·融寓 中南路店 中南路街道口 押一付一央企直租无中介费整租阳光大开间 开间,整租,,,,35.0,1,0,1,,,0,官方核验|独栋公寓|月租|拎包入住|近地铁|精装|押一付一,融寓,1个月前维护,1599
武汉,整租·武汉二十四城二期 3室2厅 东南,整租,东西湖区,金银湖,武汉二十四城二期,106.82,3,2,2,东南,中,34,官方核验|双卫生间|随时看房,,2天前维护,800
武汉,独栋·融寓 中南路店 央企直租，梅苑小区中南路，可月付，提前预定有好礼 1室1厅,独栋,,,,25.0,1,1,1,,,0,官方核验|独栋公寓|月租|近地铁|精装|押一付一,融寓,17天前维护,1250
