city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
沈阳,整租·金地铁西檀府 2室2厅 南/北,整租,铁西,张士,金地铁西檀府,85.0,2,2,1,南 北,中,32,官方核验|新上|精装|集中供暖,,1天前维护,1600
沈阳,独栋·保利托房 河樾·锦寓(保利天汇店) 东沈河区精选好房！全新家电/正南向/阳光布满全屋/无中介费/月付租金/燃气入户/拎包入住 1室1厅,独栋,,,,55.0,1,1,1,,,0,独栋公寓|月租|精装|押一付一,保利托房,13天前维护,1750
沈阳,整租·华强金廊城市广场 1室1厅 东,整租,沈河,金廊,华强金廊城市广场,42.0,1,1,1,东,低,41,官方核验|新上|近地铁|集中供暖,,2天前维护,1900
沈阳,独栋·保利托房 河樾·锦寓(保利天汇店) 开业特惠价！降至1280元/月付租金/精装一室一厅57平/无中介费/包采暖物业/智能门锁/拎包入住 1室1厅,独栋,,,,57.0,1,1,1,,,0,独栋公寓|月租|精装|押一付一,保利托房,1个月前维护,1600
沈阳,整租·红星小区 1室1厅 南,整租,和平,新华广场,红星小区,38.0,1,1,1,南,中,14,新上|精装|集中供暖,,今天维护,1500
沈阳,独栋·融寓 太原街店 融寓·西向A户型阳光一居室，临近沃尔玛及大润发，可享受人才公寓补贴 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,融寓,8天前维护,1850-1900
沈阳,整租·国奥现代城四期 2室1厅 西南/北,整租,于洪,西三台子,国奥现代城四期,67.91,2,1,1,西南 北,中,17,新上|精装|集中供暖,,1天前维护,1500
沈阳,独栋·龙湖冠寓 沈阳太原街店 开年优惠！！带飘窗南向 月付 人才公寓补贴/包取暖无中介费太原街商圈 精装拎包 押一付一无套路 开间,独栋,,,,50.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,龙湖冠寓,7天前维护,1783
沈阳,整租·坤湖郦舍 2室1厅 南/北,整租,沈北新区,道义,坤湖郦舍,80.0,2,1,1,南 北,高,33,官方核验|新上|精装|集中供暖,,1天前维护,1350
沈阳,独栋·龙湖冠寓 沈阳太原街店 近沈阳站/太原街/医大一/中兴/万达 押一付一 无中介费  智能门锁 签约即住 开间,独栋,,,,50.0,1,0,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,龙湖冠寓,7天前维护,1814
沈阳,整租·绿茵湖畔 2室1厅 西南/北,整租,沈北新区,道义,绿茵湖畔,84.44,2,1,1,西南 北,高,18,新上|近地铁|精装|集中供暖,,今天维护,1550
沈阳,独栋·融寓 太原街店 融寓·人才公寓精选南向阳光A户型一室 毕业生租房补贴首选 开间,独栋,,,,40.0,1,0,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,融寓,3个月前维护,1980
沈阳,整租·中金启城 2室1厅 南,整租,沈河,新立堡,中金启城,64.0,2,1,1,南,中,23,官方核验|新上|精装,,今天维护,1700
沈阳,独栋·龙湖冠寓 沈阳太原街店 元旦好房，视野开阔景观房，可申请人才公寓，沈阳站地铁口，通勤必选 开间,独栋,,,,51.63,1,0,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,龙湖冠寓,7天前维护,1721
沈阳,整租·沈大路 1室1厅 南,整租,于洪,于洪广场,沈大路,40.0,1,1,1,南,低,7,新上|精装|集中供暖|随时看房,,今天维护,1100
沈阳,整租·紫郡城一期北院 2室1厅 南/北,整租,于洪,于洪新城,紫郡城一期北院,80.0,2,1,1,南 北,低,6,新上|精装|集中供暖,,3天前维护,1500
沈阳,整租·汇置尚都六期 2室1厅 南/北,整租,沈北新区,道义,汇置尚都六期,74.66,2,1,1,南 北,高,32,新上|近地铁|精装|集中供暖|随时看房,,1天前维护,2200
沈阳,独栋·融寓 太原街店 融寓·人才公寓北向A户型经济一室 打工人首选 高质量与经济并存 开间,独栋,,,,40.0,1,0,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,融寓,1个月前维护,1795
沈阳,整租·文化路社区 1室1厅 东/南,整租,和平,南湖,文化路社区,56.0,1,1,1,东 南,低,9,官方核验|精装|集中供暖,链家,5天前维护,2000
沈阳,整租·华发全运首府（厚和轩） 3室1厅 南/北,整租,浑南,新南站,华发全运首府（厚和轩）,95.01,3,1,1,南 北,中,18,新上|精装|集中供暖|随时看房,链家,1天前维护,1700
沈阳,整租·汾河社区 1室1厅 南/北,整租,皇姑,塔湾,汾河社区,42.0,1,1,1,南 北,高,5,官方核验|近地铁|精装|集中供暖|随时看房,,今天维护,1100
沈阳,独栋·佑城地产 禹洲广场沿海店 可短租俩个月起步 1室1厅1卫精装平层名流印象公寓 奥体万达 下楼地铁 放心租！ 1室1厅,独栋,,,,55.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,佑城地产,1天前维护,1600
沈阳,整租·宏发石榴 1室1厅 南,整租,铁西,西站,宏发石榴,47.0,1,1,1,南,低,34,新上|集中供暖|随时看房,,2天前维护,1350
沈阳,独栋·佑城地产 云尚天成店 云尚天成1室LOFT 浑南奥体中心 东北国际医院 1室1厅,独栋,,,,55.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,佑城地产,2个月前维护,2300
沈阳,整租·融创唐轩公馆 2室2厅 南/北,整租,沈北新区,正良,融创唐轩公馆,80.0,2,2,1,南 北,高,32,新上|近地铁|精装|集中供暖,,2天前维护,1750
沈阳,独栋·逸居 奥体店 无中介 特价房 35平 半年起租 包水电网 可月付 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装,逸居,12天前维护,1630
沈阳,整租·振兴社区 1室1厅 南,整租,和平,和平广场,振兴社区,40.0,1,1,1,南,中,7,精装|集中供暖,,2天前维护,1600
沈阳,独栋·逸居 奥体店 奥体店 无中介 46平 1650左右包水电网 一年合同 整租月付 1室1厅,整租,,,,46.05,1,1,1,,,0,独栋公寓|月租|近地铁|精装,逸居,12天前维护,1420
沈阳,整租·秀山小区 1室1厅 南,整租,沈河,五爱,秀山小区,38.0,1,1,1,南,高,6,新上|近地铁|精装|集中供暖,,3天前维护,1300
沈阳,独栋·逸居 奥体店 无中介费 特价 35平1500左右 包水电网 奥莱楼上 可月付 1室1厅,独栋,,,,35.59,1,1,1,,,0,独栋公寓|月租|近地铁|精装,逸居,12天前维护,1477
沈阳,整租·正大江南水乡一期 2室2厅 南/北,整租,浑南,长青,正大江南水乡一期,102.0,2,2,1,南 北,高,18,新上|近地铁|精装|集中供暖,,2天前维护,1900
沈阳,独栋·逸居 崇山路店 崇山店 无中介 32平半年特价1152 可月付 押一付一 1室1厅,独栋,,,,32.2,1,1,1,,,0,独栋公寓|月租|近地铁|精装,逸居,12天前维护,1162
沈阳,整租·沈电社区 2室1厅 南/北,整租,和平,马路湾,沈电社区,60.0,2,1,1,南 北,中,7,官方核验|近地铁|精装|集中供暖,,3天前维护,2600
沈阳,独栋·逸居 观泉路店 观泉店 无中介费 49平 特价999包水电网 可月付 1室1厅,独栋,,,,48.96,1,1,1,,,0,新上|独栋公寓|月租|精装|开放厨房,逸居,12天前维护,1009
沈阳,整租·龙湖唐宁ONE 1室1厅 南/北,整租,和平,长白,龙湖唐宁ONE,88.0,1,1,1,南 北,高,33,新上|月租|精装|集中供暖,,今天维护,1200
沈阳,独栋·逸居 观泉路店 观泉店 特价 33平1000包水电网 押一付一   月付 1室1厅,独栋,,,,34.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,逸居,12天前维护,1010
沈阳,整租·沈铁新光佳园 2室1厅 西北,整租,铁西,北一路,沈铁新光佳园,81.77,2,1,1,西北,高,34,新上|近地铁|集中供暖,,今天维护,1500
沈阳,独栋·泊寓 沈辽路店 【免中介·可短租月付】 9号线地铁精装 滑翔盛京医院 铁西万达  沈阳站 1室1厅,独栋,,,,32.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房,泊寓,29天前维护,900
沈阳,整租·七星九龙湾 1室1厅 西北,整租,沈北新区,道义,七星九龙湾,39.0,1,1,1,西北,中,34,官方核验|精装|集中供暖|随时看房,,今天维护,1000
沈阳,独栋·逸居 公元九里店 九里店 特价 888元/月还包240水电费 无中介费 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,逸居,9天前维护,898
沈阳,整租·阳光尚城4.2期 4室2厅 跃层 南/北,整租,于洪,西三台子,阳光尚城4.2期,178.16,4,2,2,南 北,高,4,官方核验|精装|集中供暖|双卫生间|随时看房,,今天维护,2000
沈阳,独栋·逸居 公元九里店 九里店 无中介 沈体旁 特价一室 精装修 1室1厅,独栋,,,,42.0,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,逸居,9天前维护,898
沈阳,整租·雨润中央宫园 2室1厅 东/南/北,整租,沈北新区,道义,雨润中央宫园,82.7,2,1,1,东 南 北,低,18,新上|精装|集中供暖|随时看房,,4天前维护,1500
沈阳,独栋·逸居 公元九里店 九里店 特价 888元/月包240水电费 押一付三 1室1厅,独栋,,,,42.41,1,1,1,,,0,独栋公寓|月租|精装|开放厨房,逸居,9天前维护,898
沈阳,整租·锦绣华庭 3室2厅 南/北,整租,大东,东中街,锦绣华庭,140.0,3,2,1,南 北,中,7,近地铁|精装|集中供暖,,1天前维护,2200
沈阳,整租·建大五小区 1室1厅 东,整租,铁西,保工南,建大五小区,41.0,1,1,1,东,中,9,精装|集中供暖|随时看房,,1天前维护,750
沈阳,整租·华府丹郡 2室1厅 南/西/北,整租,苏家屯,会展中心,华府丹郡,76.0,2,1,1,南 西 北,中,32,官方核验|精装|集中供暖|随时看房,,5天前维护,1400
沈阳,独栋·佑城地产 禹州沿海店 ///南向lotf 下楼地铁口 可短租俩个月 1室1厅,独栋,,,,50.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,佑城地产,18天前维护,1800
