city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
深圳,整租·世纪春城四期 4室2厅 南/北,整租,龙华区,民治,世纪春城四期,123.59,4,2,2,南 北,高,31,自营|精装|押一付一|双卫生间|随时看房,贝壳优选,,6500
深圳,整租·懿花园 3室2厅 东南,整租,龙华区,观澜,懿花园,89.0,3,2,2,东南,高,10,自营|新上|精装|押一付一|双卫生间|随时看房,贝壳优选,,4700
深圳,独栋·招商品牌公寓 前湾店 双地铁长租公寓·民水民电·精品单间开放 开间,独栋,,,,37.0,1,0,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房,招商品牌公寓,6天前维护,5000
深圳,整租·金地名郡园 3室2厅 东南,整租,龙岗区,龙岗中心城,金地名郡园,89.0,3,2,2,东南,高,32,自营|精装|押一付一|双卫生间|随时看房,贝壳优选,,4000
深圳,独栋·招商品牌公寓 前湾店 直租15个月最低8.5折！央企直租·山城海三景新公寓 开间,独栋,,,,37.0,1,0,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房,招商品牌公寓,6天前维护,5015-5672
深圳,整租·国展苑 3室2厅 南,整租,龙岗区,布吉关,国展苑,96.5,3,2,1,南,低,30,业主自荐|新上|精装,链家,今天维护,3500
深圳,整租·太古城北 1室2厅 东北,整租,南山区,深圳湾,太古城北,74.0,1,2,1,东北,高,29,新上|近地铁,链家,1天前维护,5000
深圳,独栋·富瑞斯国际公寓 南山店 泊寓·商务出差短租 可开发票 一价全包 服务齐全 干湿分离【近科兴科学园】 开间,独栋,,,,47.0,1,0,1,,,0,独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,富瑞斯国际公寓,7天前维护,8500
深圳,整租·金地龙城中央一期 3室2厅 东南,整租,龙岗区,龙岗中心城,金地龙城中央一期,88.87,3,2,2,东南,高,34,自营|近地铁|精装|押一付一|双卫生间|随时看房,贝壳优选,,3399
深圳,独栋·招商品牌公寓 太子湾二期 【蛇口两居】电梯房 民水电 蛇口港地铁口  一站直达海上世界 2室1厅,独栋,,,,72.18,2,1,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房,招商品牌公寓,6天前维护,9146
深圳,整租·中粮创芯公园 3室1厅 南,整租,宝安区,新安,中粮创芯公园,150.0,3,1,2,南,中,29,业主自荐|新上|近地铁|精装|双卫生间,,2天前维护,6000
深圳,整租·花语馨 3室1厅 南,整租,龙岗区,布吉街,花语馨,85.0,3,1,1,南,高,31,业主自荐|新上|精装,,1天前维护,4500
深圳,独栋·招商品牌公寓 太子湾二期 海景豪宅同款公寓 央企直租 2居室  年底85折特惠！ 2室1厅,独栋,,,,72.35,2,1,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房,招商品牌公寓,6天前维护,9511
深圳,整租·加洲花园 2室2厅 东南/南,整租,龙岗区,布吉关,加洲花园,58.16,2,2,1,东南 南,高,8,业主自荐|新上|近地铁|精装,链家,1天前维护,3800
深圳,独栋·中盈菁英公寓 南山科技园店 独立大厨房、近万象天地商圈、视野开阔、观山看海、有地下停车场、赠健身房月卡 1室1厅,独栋,,,,72.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装,中盈菁英公寓,19天前维护,11270
