city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
青岛,整租·花样年碧云湾一期 3室2厅 南,整租,胶州,上合,花样年碧云湾一期,98.27,3,2,1,南,低,18,官方核验|新上|精装,,,1200
青岛,独栋·龙湖冠寓 青岛正阳路国学公园店 【长租特惠】大房型仅1间 近万达家佳源 夜市 开间,独栋,,,,30.0,1,0,1,,,0,独栋公寓|月租|精装|押一付一,龙湖冠寓,4个月前维护,1050
青岛,整租·海尔地产中央花园 3室1厅 南,整租,即墨区,即墨创智新区,海尔地产中央花园,125.0,3,1,1,南,中,17,业主自荐|新上|精装|集中供暖,,1天前维护,1600
青岛,独栋·龙湖冠寓 青岛正阳路国学公园店 秋日特惠，长租最高优惠1000元，万达家佳源商圈，临近夜市，农大附近！ 开间,独栋,,,,24.07,1,0,1,,,0,独栋公寓|月租|精装|押一付一,龙湖冠寓,2个月前维护,1100
青岛,整租·天一镜台山三期曼莎 3室2厅 南/北,整租,黄岛,镜台山,天一镜台山三期曼莎,118.0,3,2,2,南 北,中,8,官方核验|精装|集中供暖|双卫生间|随时看房,,今天维护,1300
青岛,独栋·龙湖冠寓 青岛国家广告产业园二店 马年特价好房重磅来袭！数量有限先到先得！ 55平大户型 舒适空间享特价！品牌公寓 可月付 开间,独栋,,,,52.0,1,0,1,,,0,独栋公寓|精装|押一付一,龙湖冠寓,6天前维护,1250
青岛,整租·高投高新嘉园 2室2厅 南,整租,城阳,高新区,高投高新嘉园,85.62,2,2,1,南,低,14,新上|集中供暖|随时看房,,2天前维护,1200
青岛,独栋·龙湖冠寓 青岛正阳路国学公园店 【一月限时】 0中介费，短租特惠可月付 享折扣 近万达家佳源夜市  秒杀房 开间,独栋,,,,26.92,1,0,1,,,0,独栋公寓|月租|精装|押一付一,龙湖冠寓,7天前维护,750
青岛,整租·金都馨城B区 3室1厅 南,整租,胶州,阜安,金都馨城B区,88.6,3,1,1,南,高,6,新上|精装,,今天维护,450
青岛,独栋·龙湖冠寓 青岛国家广告产业园二店 【元旦专属特惠！】限时疯抢！学生/企客折上折！实习生首选，近商超，近国家广告产业园！无中介费！ 开间,独栋,,,,32.0,1,0,1,,,0,独栋公寓|精装|押一付一,龙湖冠寓,6天前维护,1200
青岛,整租·戴家府邸 2室1厅 南/北,整租,李沧,世园会,戴家府邸,81.62,2,1,1,南 北,低,16,新上|精装,链家,2天前维护,2500
青岛,独栋·龙湖冠寓 青岛国家广告产业园二店 双12，特惠8折房！超大户型长租超低价！签约立减500元 0中介费！先到先得 1室1厅,独栋,,,,70.0,1,1,1,,,0,独栋公寓|拎包入住|精装|有阳台|开放厨房|押一付一,龙湖冠寓,15天前维护,1880-2187
青岛,整租·绿地国科璟园 3室2厅 南,整租,城阳,白云山,绿地国科璟园,89.58,3,2,1,南,中,18,新上|精装,,1天前维护,1666
青岛,独栋·龙湖冠寓 青岛国家广告产业园二店 好房特价！限时福利，仅此两间，城阳冠寓，近世纪公园，长租可省800元，近万象汇商圈！学生特惠 开间,独栋,,,,35.0,1,0,1,,,0,独栋公寓|精装|开放厨房|押一付一,龙湖冠寓,6天前维护,1300
青岛,整租·青特赫山 3室1厅 南/西/北,整租,城阳,白云山,青特赫山,96.31,3,1,1,南 西 北,高,18,精装|集中供暖|随时看房,,今天维护,1800
青岛,整租·天一仁和智慧之城 2室2厅 南,整租,城阳,惜福镇,天一仁和智慧之城,79.0,2,2,1,南,高,26,精装|集中供暖|随时看房,,1天前维护,1300
青岛,整租·天泰城汉城区 4室2厅 南/北,整租,城阳,东方城西,天泰城汉城区,158.0,4,2,2,南 北,中,17,新上|精装|双卫生间|随时看房,,今天维护,1800
