iter	Passed	Remaining
0	177	177721
1	222	111192
2	266	88726
3	315	78663
4	360	71787
5	404	67044
6	452	64146
7	498	61829
8	543	59899
9	589	58317
10	635	57133
11	678	55887
12	721	54788
13	764	53873
14	810	53202
15	854	52555
16	900	52072
17	944	51541
18	980	50649
19	1026	50307
20	1070	49919
21	1113	49508
22	1157	49156
23	1194	48561
24	1237	48261
25	1280	47982
26	1325	47761
27	1369	47527
28	1426	47775
29	1470	47553
30	1513	47317
31	1557	47123
32	1599	46870
33	1645	46744
34	1690	46609
35	1733	46413
36	1773	46157
37	1814	45929
38	1862	45882
39	1917	46020
40	1974	46188
41	2017	46028
42	2059	45837
43	2101	45653
44	2140	45432
45	2197	45577
46	2246	45554
47	2304	45708
48	2359	45802
49	2400	45611
50	2447	45539
51	2487	45355
52	2528	45180
53	2584	45280
54	2625	45109
55	2666	44955
56	2709	44825
57	2750	44672
58	2791	44519
59	2848	44627
60	2890	44496
61	2933	44377
62	2977	44281
63	3019	44164
64	3062	44057
65	3103	43917
66	3148	43846
67	3192	43756
68	3234	43641
69	3254	43241
70	3295	43125
71	3338	43035
72	3381	42937
73	3423	42835
74	3464	42723
75	3504	42604
76	3544	42485
77	3593	42474
78	3634	42368
79	3674	42254
80	3716	42169
81	3758	42079
82	3799	41975
83	3841	41885
84	3883	41802
85	3924	41705
86	3965	41617
87	3993	41386
88	4035	41310
89	4078	41240
90	4129	41251
91	4179	41254
92	4221	41167
93	4263	41089
94	4304	41002
95	4344	40909
96	4384	40816
97	4424	40724
98	4466	40650
99	4509	40587
100	4552	40525
101	4595	40461
102	4636	40380
103	4679	40318
104	4694	40013
105	4743	40006
106	4793	40006
107	4838	39959
108	4881	39902
109	4927	39871
110	5003	40074
111	5023	39829
112	5070	39800
113	5114	39747
114	5157	39688
115	5201	39636
116	5243	39571
117	5285	39508
118	5328	39449
119	5372	39399
120	5430	39448
121	5494	39545
122	5554	39601
123	5603	39584
124	5647	39533
125	5691	39480
126	5735	39425
127	5793	39469
128	5854	39529
129	5931	39696
130	5973	39623
131	6014	39551
132	6054	39468
133	6093	39382
134	6133	39298
135	6175	39234
136	6215	39155
137	6261	39111
138	6301	39031
139	6340	38951
140	6380	38869
